order_id,order_datetime,store,item_name,quantity,unit_price,payment_method,status,customer_rating
10343,2026-07-09 17:26,Kochiyo Halal - Edogawa ,Tonkotsu Ramen,2,¥1337,Cash,Cancelled,4.5
10495,2026/07/27,Kochiyo Halal Multi Cuisine - Edogawa,chicken karaage,2,¥792,,delivered,N/A
10502,2026/07/27,Kochiyo Halal Multi Cuisine - Edogawa,CHICKEN KARAAGE BOX,2,"¥1,179",Credit Card,delivered,
10082,2026-06-08 18:43,Kochiyo Central Kitchen,chicken  biryani,1,1347,Cash,Refunded,4.5
10144,16/06/2026 18:09,Kochiyo Halal Multi Cuisine - Edogawa,Tempura Set,1,"¥1,609",PayPay,Delivered,5.0
10175,2026-06-20 09:43,Kochiyo Halal Multi Cuisine - Edogawa,Tonkotsu Ramen,1,"¥1,133",,cancelled,5
10416,07/18/2026 01:40 PM,Kochiyo Halal - Edogawa ,salmon sushi set,2,"¥1,408",Credit Card,Delivered ,5
10376,2026-07-15 19:40,Kochiyo Halal - Edogawa ,Tempura  Set,1,1543.00,LINE Pay,delivered,5.0
10151,18/06/2026 13:31,Kochiyo Halal Multi Cuisine - Edogawa,Chicken Biryani,2,"¥1,100",paypay,DELIVERED,5.0
10343,2026-07-09 17:26,Kochiyo Halal - Edogawa ,mango  lassi,1,305.00,paypay,Refunded,5.0
10259,2026/06/30,Kochiyo Halal Multi Cuisine - Edogawa,Edamame,1,367,credit card,Delivered ,
10210,24/06/2026 13:26,Kochiyo Halal - Edogawa ,salmon sushi set,1,1322,credit card,Cancelled,5
10203,2026/06/23,Kochiyo Halal Multi Cuisine - Edogawa,Gyoza (6pcs),1,658,credit card,DELIVERED,
10070,"Jun 07, 2026 11:49",Kochiyo Halal Multi Cuisine - Edogawa,Chicken  Karaage,2,¥820,Cash,Refunded,4.5
10224,2026/06/25,Kochiyo Halal - Edogawa ,mango  lassi,1,¥461,cash ,Delivered ,3
10307,2026/07/05,Kochiyo Halal Multi Cuisine - Edogawa,gyoza(6pc),2,463.00,Cash,Refunded,
10197,06/22/2026 06:36 PM,Kochiyo Central Kitchen,Gyoza 6pcs,3,497,credit card,Cancelled,N/A
10294,2026-07-04 20:40,Kochiyo Central Kitchen,salmon sushi set,2,1336,,DELIVERED,5
10278,07/02/2026 05:45 PM,Kochiyo Central Kitchen,tempura set ,1,¥1162,credit card,delivered,4.5
10427,07/19/2026 06:51 PM,Kochiyo Halal Multi Cuisine - Edogawa,green tea,1,¥515,cash ,DELIVERED,4
10274,07/01/2026 01:04 PM,Kochiyo Central Kitchen,beef curry udon,2,1243.00,,Delivered ,4.5
10061,06/06/2026 11:19,Kochiyo Halal Multi Cuisine - Edogawa,Beef Curry Udon,1,"¥1,397",credit card,cancelled,5
10468,2026/07/25,Kochiyo Halal - Edogawa ,beef curry udon,1,1360.00,Cash,Cancelled,4.5
10363,2026-07-12 13:56,Kochiyo Halal Multi Cuisine - Edogawa,Miso Soup,3,200.00,PayPay,DELIVERED,
10176,2026-06-20 19:13,Kochiyo Central Kitchen,salmon sushi set,2,1711.00,,Delivered,4
10348,"Jul 11, 2026 20:56",Kochiyo Halal - Edogawa ,Miso  Soup,2,¥229,PayPay,delivered,3
10005,2026/06/01,Kochiyo Halal - Edogawa ,edamame ,2,¥278,cash ,Delivered ,3
10498,2026-07-27 17:31,Kochiyo Central Kitchen,Katsu Curry Rice,3,1060.00,,DELIVERED,4.5
10065,2026/06/07,Kochiyo Halal - Edogawa ,Chicken Karaage,1,¥962,LINE Pay,Delivered,
,13/07/2026 20:43,Kochiyo Central Kitchen,salmon sushi set,1,¥1661,Cash,Refunded,N/A
10126,06/14/2026 12:49 PM,Kochiyo Halal - Edogawa ,Tonkotsu Ramen,1,¥1269,credit card,Cancelled,4.5
10139,15/06/2026 17:50,Kochiyo Central Kitchen,Chicken Karaage,1,1095.00,LINE Pay,DELIVERED,5.0
10026,2026/06/03,Kochiyo Central Kitchen,mango  lassi,3,576.00,paypay,Delivered ,4
10499,2026-07-27 13:19,Kochiyo Halal Multi Cuisine - Edogawa,Chicken  Karaage,3,779.00,credit card,delivered,
10414,"Jul 18, 2026 13:37",Kochiyo Halal Multi Cuisine - Edogawa,Edamame,3,362,LINE Pay,Delivered,3
10372,2026-07-14 20:44,Kochiyo Central Kitchen,beef curry udon,1,1087.00,paypay,Delivered,3
10377,2026/07/15,Kochiyo Central Kitchen,Falafel Wrap,3,1171,Cash,Refunded,
10251,"Jun 28, 2026 17:05",Kochiyo Halal - Edogawa ,tonkotsu ramen ,2,1252.00,paypay,cancelled,N/A
10395,2026-07-16 09:09,Kochiyo Halal - Edogawa ,Salmon Sushi Set,2,"¥1,276",,Cancelled,4
10413,2026/07/18,Kochiyo Halal - Edogawa ,CHICKEN KARAAGE BOX,3,¥1091,,delivered,N/A
10357,11/07/2026 18:26,Kochiyo Central Kitchen,green tea,1,441,cash ,Delivered,
10015,02/06/2026 18:27,Kochiyo Halal - Edogawa ,Tonkotsu Ramen,1,¥870,,Delivered ,5.0
10011,01/06/2026 15:16,Kochiyo Halal Multi Cuisine - Edogawa,gyoza(6pc),3,¥828,,Delivered,N/A
10068,07/06/2026 13:51,Kochiyo Halal - Edogawa ,Katsu Curry Rice,1,1384,credit card,Delivered,N/A
10210,24/06/2026 13:26,Kochiyo Halal Multi Cuisine - Edogawa,miso soup,2,200,paypay,Delivered,4.5
10425,07/19/2026 12:12 PM,Kochiyo Halal Multi Cuisine - Edogawa,Chicken  Karaage,1,745.00,Credit Card,DELIVERED,
10098,10/06/2026 21:34,Kochiyo Halal Multi Cuisine - Edogawa,CHICKEN KARAAGE BOX,1,749,Credit Card,delivered,4.5
10387,16/07/2026 21:14,Kochiyo Halal Multi Cuisine - Edogawa,CHICKEN KARAAGE BOX,3,¥1101,cash ,Cancelled,4.5
10530,"Jul 30, 2026 09:20",Kochiyo Central Kitchen,Green Tea,1,200,,delivered,3
10250,06/28/2026 12:04 PM,Kochiyo Halal - Edogawa ,Tonkotsu  Ramen,3,¥1287,PayPay,Delivered ,5
10021,"Jun 02, 2026 20:53",Kochiyo Central Kitchen,green tea,2,527.00,Credit Card,Delivered ,5.0
10169,2026/06/20,Kochiyo Halal - Edogawa ,Chicken Biryani,3,1181,,Cancelled,5.0
10201,"Jun 22, 2026 13:15",Kochiyo Halal - Edogawa ,Tonkotsu  Ramen,2,¥1376,credit card,Cancelled,
10051,2026/06/05,Kochiyo Halal Multi Cuisine - Edogawa,CHICKEN KARAAGE BOX,1,1076,,Delivered ,5
10095,2026/06/10,Kochiyo Central Kitchen,Green Tea,1,200.00,,cancelled,3
10019,"Jun 02, 2026 17:24",Kochiyo Halal - Edogawa ,Chicken Biryani,2,¥1050,cash ,Cancelled,4.5
10318,2026/07/07,Kochiyo Halal - Edogawa ,CHICKEN KARAAGE BOX,2,1109.00,,delivered,5
10352,2026-07-11 11:53,Kochiyo Central Kitchen,salmon sushi set,3,1390.00,Cash,Cancelled,
10089,2026/06/10,Kochiyo Central Kitchen,mango  lassi,1,510.00,,delivered,5.0
10422,2026-07-18 20:44,Kochiyo Central Kitchen,Green Tea,3,395.00,Credit Card,Refunded,5
10148,"Jun 17, 2026 17:50",Kochiyo Central Kitchen,Miso Soup,2,¥200,LINE Pay,cancelled,4
10513,"Jul 28, 2026 12:34",Kochiyo Halal Multi Cuisine - Edogawa,chicken karaage,2,1167.00,cash ,cancelled,N/A
10109,12/06/2026 12:10,Kochiyo Halal - Edogawa ,falafel wrap ,2,987.00,LINE Pay,Delivered,
,06/03/2026 01:28 PM,Kochiyo Halal Multi Cuisine - Edogawa,edamame ,2,¥558,cash ,Delivered ,
10268,2026/07/01,Kochiyo Halal Multi Cuisine - Edogawa,beef curry udon,2,"¥1,060",,Cancelled,
10127,2026/06/14,Kochiyo Halal Multi Cuisine - Edogawa,Mango Lassi,1,814,credit card,Cancelled,
10233,2026-06-26 13:57,Kochiyo Halal - Edogawa ,Salmon Sushi Set,2,¥1316,cash ,cancelled,5.0
10364,2026-07-12 19:04,Kochiyo Halal - Edogawa ,Beef Curry Udon,2,¥1024,cash ,Cancelled,4.5
10436,2026-07-20 11:01,Kochiyo Halal - Edogawa ,katsu curry rice,3,1052.00,LINE Pay,delivered,
10028,2026/06/03,Kochiyo Central Kitchen,Chicken Karaage,2,¥1243,,DELIVERED,
10177,06/21/2026 06:44 PM,Kochiyo Halal - Edogawa ,Tempura Set,2,¥1258,,Cancelled,5.0
10493,"Jul 27, 2026 13:42",Kochiyo Halal - Edogawa ,Tonkotsu Ramen,2,1156,,Delivered ,4.5
10021,02/06/2026 20:53,Kochiyo Halal - Edogawa ,mango  lassi,1,¥454,LINE Pay,Cancelled,N/A
10524,2026-07-30 15:50,Kochiyo Central Kitchen,Gyoza (6pcs),1,¥856,paypay,Delivered ,5.0
10269,2026-07-01 18:57,Kochiyo Halal - Edogawa ,Chicken Karaage,2,"¥1,207",paypay,delivered,N/A
10483,"Jul 26, 2026 13:07",Kochiyo Halal - Edogawa ,Edamame,1,¥298,PayPay,cancelled,
10052,06/06/2026 21:53,Kochiyo Central Kitchen,chicken karaage,3,731,cash ,delivered,N/A
10457,07/23/2026 08:33 PM,Kochiyo Halal - Edogawa ,tonkotsu ramen ,2,¥843,,Delivered,
10200,2026/06/22,Kochiyo Halal Multi Cuisine - Edogawa,Green Tea,2,200,PayPay,Delivered,5.0
10254,"Jun 28, 2026 13:06",Kochiyo Central Kitchen,edamame ,1,591,Cash,DELIVERED,
10022,"Jun 02, 2026 18:22",Kochiyo Central Kitchen,Tempura  Set,2,1375.00,cash ,Refunded,5.0
10275,02/07/2026 13:08,Kochiyo Halal - Edogawa ,Gyoza (6pcs),3,¥878,PayPay,delivered,
10525,07/30/2026 01:44 PM,Kochiyo Central Kitchen,Gyoza 6pcs,,376.00,paypay,Delivered,5.0
10108,06/11/2026 05:49 PM,Kochiyo Central Kitchen,tonkotsu ramen ,1,"¥1,296",,DELIVERED,4
10349,"Jul 11, 2026 12:19",Kochiyo Halal - Edogawa ,gyoza(6pc),1,536,,cancelled,N/A
10338,2026/07/09,Kochiyo Central Kitchen,Tempura  Set,1,1436.00,cash ,Refunded,
10460,23/07/2026 19:09,Kochiyo Halal - Edogawa ,Katsu  Curry  Rice,1,¥1217,cash ,Delivered ,3
10488,07/26/2026 01:31 PM,Kochiyo Halal Multi Cuisine - Edogawa,beef curry udon,1,1165,,Delivered ,3
10450,2026/07/22,Kochiyo Halal - Edogawa ,Tempura Set,1,1649,cash ,Delivered ,
10331,"Jul 08, 2026 18:46",Kochiyo Halal - Edogawa ,Mango Lassi,2,647,credit card,Delivered ,3
10494,27/07/2026 13:20,Kochiyo Halal - Edogawa ,Edamame,1,628.00,credit card,cancelled,N/A
10198,2026/06/22,Kochiyo Halal Multi Cuisine - Edogawa,falafel wrap ,1,1171,,delivered,
10161,2026/06/19,Kochiyo Halal Multi Cuisine - Edogawa,gyoza(6pc),1,¥835,credit card,DELIVERED,
10434,07/20/2026 12:13 PM,Kochiyo Halal - Edogawa ,Chicken Karaage,1,1072,credit card,Refunded,4.5
10063,06/06/2026 11:30,Kochiyo Central Kitchen,falafel wrap ,3,1278,,delivered,5.0
10178,2026/06/21,Kochiyo Halal - Edogawa ,Falafel Wrap,1,894,,Delivered,
10322,07/07/2026 19:07,Kochiyo Central Kitchen,Gyoza (6pcs),2,¥437,Cash,Refunded,4.5
10058,06/06/2026 09:40 PM,Kochiyo Halal - Edogawa ,tonkotsu ramen ,1,1310.00,,Delivered,
10417,2026-07-18 17:09,Kochiyo Halal Multi Cuisine - Edogawa,beef curry udon,2,1241,PayPay,Cancelled,N/A
10452,"Jul 23, 2026 12:35",Kochiyo Halal - Edogawa ,Tempura Set,2,"¥1,367",,DELIVERED,N/A
10339,09/07/2026 15:45,Kochiyo Central Kitchen,Beef  Curry  Udon,2,1387,,Delivered ,5.0
10423,18/07/2026 21:32,Kochiyo Halal - Edogawa ,beef curry udon,1,1178,Credit Card,delivered,5.0
10455,"Jul 23, 2026 12:13",Kochiyo Central Kitchen,Chicken Karaage,1,"¥1,166",PayPay,DELIVERED,4
10067,07/06/2026 17:46,Kochiyo Central Kitchen,Tonkotsu  Ramen,2,1237.00,Credit Card,Delivered ,N/A
10234,2026/06/26,Kochiyo Halal - Edogawa ,gyoza(6pc),1,¥868,,Cancelled,3
10411,17/07/2026 12:48,Kochiyo Central Kitchen,Katsu Curry Rice,1,¥996,Cash,Delivered ,5
10278,"Jul 02, 2026 17:45",Kochiyo Halal - Edogawa ,Tempura  Set,3,1575.00,PayPay,Delivered ,4
10144,"Jun 16, 2026 18:09",Kochiyo Halal - Edogawa ,Salmon  Sushi Set,2,1491.00,,Delivered ,3
10118,06/12/2026 09:32 AM,Kochiyo Central Kitchen,katsu curry rice,2,¥1477,cash ,cancelled,5
10153,"Jun 19, 2026 20:57",Kochiyo Central Kitchen,Katsu Curry Rice,3,"¥1,277",LINE Pay,Cancelled,5.0
10398,2026-07-16 13:54,Kochiyo Halal - Edogawa ,Miso Soup,2,420,credit card,delivered,5
10140,2026/06/15,Kochiyo Central Kitchen,Kochiyo Chicken Biryani,3,1126,LINE Pay,Refunded,3
10071,06/07/2026 12:08 PM,Kochiyo Halal - Edogawa ,Edamame,1,625,credit card,cancelled,
10213,24/06/2026 19:18,Kochiyo Central Kitchen,mango  lassi,1,338.00,paypay,delivered,
10302,07/05/2026 09:15 PM,Kochiyo Halal - Edogawa ,miso soup,2,360,cash ,cancelled,5.0
10013,2026/06/01,Kochiyo Central Kitchen,Falafel Wrap,2,1291,credit card,delivered,
10002,06/01/2026 07:21 PM,Kochiyo Halal - Edogawa ,Beef Curry Udon,2,1027.00,cash ,cancelled,
10514,07/28/2026 06:25 PM,Kochiyo Halal - Edogawa ,Chicken  Karaage,2,810.00,Credit Card,delivered,3
10044,06/04/2026 11:25 AM,Kochiyo Halal - Edogawa ,Gyoza (6pcs),2,456.00,cash ,Delivered,
10340,"Jul 09, 2026 18:50",Kochiyo Halal - Edogawa ,Salmon Sushi Set,3,1705,PayPay,Delivered ,5
10070,2026-06-07 11:49,Kochiyo Halal Multi Cuisine - Edogawa,Tempura  Set,2,¥1471,,cancelled,5.0
10127,"Jun 14, 2026 21:43",Kochiyo Halal - Edogawa ,beef curry udon,2,"¥1,329",credit card,cancelled,N/A
10302,05/07/2026 21:15,Kochiyo Central Kitchen,Miso  Soup,2,¥352,cash ,Delivered ,
10140,06/15/2026 12:30 PM,Kochiyo Halal Multi Cuisine - Edogawa,Edamame,2,¥614,LINE Pay,Refunded,
10325,2026/07/07,Kochiyo Central Kitchen,tonkotsu ramen ,1,1259.00,cash ,DELIVERED,5
10373,"Jul 14, 2026 15:12",Kochiyo Central Kitchen,Green Tea,1,457.00,LINE Pay,Delivered ,3
10418,07/18/2026 06:43 PM,Kochiyo Central Kitchen,tonkotsu ramen ,2,¥1123,Cash,Delivered ,4
10206,"Jun 23, 2026 13:40",Kochiyo Central Kitchen,chicken  biryani,,1273,Cash,cancelled,4
10101,06/11/2026 07:39 PM,Kochiyo Halal - Edogawa ,Katsu Curry Rice,3,1229.00,LINE Pay,delivered,5.0
10053,2026-06-06 13:42,Kochiyo Central Kitchen,green tea,2,¥329,Cash,Refunded,4.5
10271,"Jul 01, 2026 17:11",Kochiyo Central Kitchen,Salmon Sushi Set,1,¥1611,cash ,DELIVERED,4.5
10391,16/07/2026 17:41,Kochiyo Halal - Edogawa ,Miso Soup,1,631,PayPay,Delivered ,3
10381,"Jul 15, 2026 21:17",Kochiyo Central Kitchen,tempura set ,1,1483.00,credit card,DELIVERED,5.0
10327,07/07/2026 12:48 PM,Kochiyo Central Kitchen,Miso Soup,1,¥435,LINE Pay,Delivered ,5.0
10419,2026/07/18,Kochiyo Halal - Edogawa ,Salmon  Sushi Set,2,"¥1,799",paypay,Refunded,4
10405,2026-07-17 17:18,Kochiyo Halal - Edogawa ,Salmon  Sushi Set,3,1503.00,PayPay,delivered,3
10497,"Jul 27, 2026 11:32",Kochiyo Halal Multi Cuisine - Edogawa,katsu curry rice,3,1105,Cash,Delivered ,N/A
,"Jul 18, 2026 20:44",Kochiyo Halal - Edogawa ,katsu curry rice,2,"¥1,127",,cancelled,
,2026-06-30 12:50,Kochiyo Halal - Edogawa ,Tempura  Set,2,1232,Cash,Cancelled,4.5
10353,"Jul 11, 2026 21:08",Kochiyo Halal - Edogawa ,chicken  biryani,2,¥1437,Credit Card,Delivered ,
10171,2026-06-20 21:27,Kochiyo Halal Multi Cuisine - Edogawa,mango  lassi,1,325.00,PayPay,DELIVERED,
10288,07/03/2026 06:24 PM,Kochiyo Central Kitchen,edamame ,3,¥624,credit card,Delivered ,4.5
10382,2026-07-15 12:50,Kochiyo Central Kitchen,Miso Soup,3,¥578,paypay,delivered,
10263,2026/06/30,Kochiyo Halal - Edogawa ,Tonkotsu Ramen,2,¥927,paypay,DELIVERED,5
10015,2026/06/02,Kochiyo Halal - Edogawa ,Chicken Karaage,3,852,PayPay,Delivered,
10188,"Jun 21, 2026 20:25",Kochiyo Halal - Edogawa ,Tonkotsu Ramen,3,835,credit card,DELIVERED,
10046,2026/06/05,Kochiyo Halal Multi Cuisine - Edogawa,Tempura Set,1,"¥1,486",PayPay,delivered,
10005,2026-06-01 20:27,Kochiyo Halal - Edogawa ,Tempura  Set,1,1450.00,Cash,cancelled,3
10327,07/07/2026 12:48,Kochiyo Halal - Edogawa ,Tonkotsu Ramen,2,835.00,,Delivered ,
10042,04/06/2026 17:22,Kochiyo Halal - Edogawa ,chicken karaage,1,¥894,Credit Card,DELIVERED,4.5
10380,07/15/2026 09:30 PM,Kochiyo Halal - Edogawa ,Katsu  Curry  Rice,1,¥1301,Credit Card,DELIVERED,N/A
10019,02/06/2026 17:24,Kochiyo Halal Multi Cuisine - Edogawa,Katsu Curry Rice,1,¥1190,paypay,Cancelled,4
10233,2026-06-26 13:57,Kochiyo Halal - Edogawa ,Katsu  Curry  Rice,2,"¥1,164",,Delivered,4.5
,12/06/2026 12:10,Kochiyo Halal Multi Cuisine - Edogawa,Katsu  Curry  Rice,2,1389.00,credit card,cancelled,4
10067,07/06/2026 17:46,Kochiyo Halal Multi Cuisine - Edogawa,Miso  Soup,1,200.00,Credit Card,DELIVERED,
10399,2026/07/16,Kochiyo Halal - Edogawa ,green tea,3,¥570,,Refunded,4
10195,2026-06-22 18:34,Kochiyo Halal - Edogawa ,Mango Lassi,1,¥703,cash ,Refunded,5
10471,2026/07/25,Kochiyo Central Kitchen,Tonkotsu  Ramen,1,"¥1,340",Cash,Delivered ,
10338,2026/07/09,Kochiyo Halal - Edogawa ,Gyoza (6pcs),1,¥547,credit card,Cancelled,4
10029,"Jun 03, 2026 13:07",Kochiyo Central Kitchen,chicken  biryani,3,"¥1,598",,cancelled,
10059,"Jun 06, 2026 18:35",Kochiyo Halal Multi Cuisine - Edogawa,Chicken  Karaage,1,"¥1,187",cash ,Refunded,4
10474,25/07/2026 12:07,Kochiyo Central Kitchen,Tempura Set,1,1405,Credit Card,DELIVERED,N/A
10383,"Jul 15, 2026 12:42",Kochiyo Halal - Edogawa ,Katsu  Curry  Rice,1,¥1016,,Delivered ,5.0
10282,02/07/2026 19:22,Kochiyo Halal Multi Cuisine - Edogawa,gyoza(6pc),1,872,PayPay,cancelled,N/A
10146,06/16/2026 12:09 PM,Kochiyo Central Kitchen,salmon sushi set,1,¥1353,,cancelled,4.5
10451,2026-07-23 18:49,Kochiyo Central Kitchen,Salmon Sushi Set,1,1266.00,,DELIVERED,
10204,23/06/2026 12:28,Kochiyo Halal Multi Cuisine - Edogawa,beef curry udon,3,¥932,LINE Pay,Delivered,4.5
10015,02/06/2026 18:27,Kochiyo Central Kitchen,Salmon Sushi Set,2,"¥1,408",cash ,Delivered ,5.0
10079,2026/06/08,Kochiyo Halal - Edogawa ,salmon sushi set,2,"¥1,576",cash ,cancelled,4.5
10002,06/01/2026 07:21 PM,Kochiyo Central Kitchen,tonkotsu ramen ,1,934,Credit Card,Refunded,4.5
10330,"Jul 08, 2026 12:23",Kochiyo Central Kitchen,mango  lassi,2,657,,DELIVERED,5.0
10194,2026/06/22,Kochiyo Central Kitchen,Beef  Curry  Udon,2,1181.00,PayPay,Delivered,5.0
10450,"Jul 22, 2026 13:18",Kochiyo Halal Multi Cuisine - Edogawa,Salmon  Sushi Set,1,1460,paypay,Cancelled,5.0
10359,"Jul 12, 2026 18:50",Kochiyo Halal Multi Cuisine - Edogawa,edamame ,1,362.00,,Delivered,N/A
10133,2026-06-15 12:41,Kochiyo Halal Multi Cuisine - Edogawa,Tonkotsu  Ramen,1,955,LINE Pay,Delivered ,5.0
10440,"Jul 21, 2026 17:31",Kochiyo Central Kitchen,katsu curry rice,1,1448,,Delivered ,3
10019,02/06/2026 17:24,Kochiyo Halal - Edogawa ,Miso Soup,2,318.00,,Refunded,N/A
10393,16/07/2026 11:33,Kochiyo Central Kitchen,Edamame,3,¥215,paypay,delivered,
10073,"Jun 08, 2026 18:29",Kochiyo Halal - Edogawa ,Tonkotsu  Ramen,1,1237.00,cash ,Refunded,4
10094,2026/06/10,Kochiyo Central Kitchen,Beef Curry Udon,2,"¥1,196",cash ,delivered,
10480,2026-07-26 12:49,Kochiyo Halal - Edogawa ,green tea,1,568.00,Credit Card,Refunded,
10227,25/06/2026 19:25,Kochiyo Central Kitchen,Chicken  Karaage,2,1001,,Delivered,4
10517,2026-07-28 18:25,Kochiyo Halal - Edogawa ,Tempura  Set,1,¥1520,LINE Pay,Delivered,
10106,2026/06/11,Kochiyo Halal Multi Cuisine - Edogawa,Falafel Wrap,1,¥1004,LINE Pay,Delivered ,N/A
10279,"Jul 02, 2026 12:19",Kochiyo Halal Multi Cuisine - Edogawa,Miso  Soup,1,290.00,Cash,Delivered ,
10196,06/22/2026 11:13 AM,Kochiyo Central Kitchen,miso soup,2,¥534,Cash,Cancelled,3
10009,01/06/2026 19:51,Kochiyo Central Kitchen,Beef  Curry  Udon,1,1094.00,credit card,Cancelled,4
,2026/06/26,Kochiyo Halal - Edogawa ,chicken karaage,1,980,paypay,cancelled,N/A
10030,2026/06/03,Kochiyo Central Kitchen,Miso  Soup,2,¥200,paypay,Delivered,5.0
10295,07/04/2026 06:55 PM,Kochiyo Central Kitchen,Mango Lassi,1,320.00,cash ,cancelled,4
10451,2026/07/23,Kochiyo Halal - Edogawa ,chicken  biryani,1,"¥1,483",,Delivered,4
10307,2026-07-05 12:55,Kochiyo Central Kitchen,green tea,2,234.00,paypay,cancelled,4.5
10185,06/21/2026 06:25 PM,Kochiyo Central Kitchen,gyoza(6pc),2,¥853,credit card,delivered,5.0
10193,06/22/2026 07:24 PM,Kochiyo Halal Multi Cuisine - Edogawa,Green Tea,2,521,paypay,Refunded,
10281,02/07/2026 18:36,Kochiyo Central Kitchen,Green Tea,1,377.00,Cash,DELIVERED,5.0
10438,20/07/2026 15:11,Kochiyo Halal - Edogawa ,miso soup,1,¥547,LINE Pay,Delivered ,
10184,21/06/2026 13:32,Kochiyo Halal - Edogawa ,Beef Curry Udon,2,1390.00,Credit Card,delivered,5
10445,07/21/2026 01:13 PM,Kochiyo Halal Multi Cuisine - Edogawa,falafel wrap ,2,"¥1,142",Credit Card,Cancelled,
,21/06/2026 18:21,Kochiyo Halal Multi Cuisine - Edogawa,Miso Soup,1,¥538,LINE Pay,DELIVERED,N/A
10258,06/30/2026 06:32 PM,Kochiyo Halal - Edogawa ,Katsu  Curry  Rice,1,990.00,credit card,Refunded,N/A
10522,2026-07-29 17:18,Kochiyo Central Kitchen,Falafel Wrap,1,¥933,Credit Card,cancelled,4
10491,27/07/2026 13:37,Kochiyo Halal - Edogawa ,beef curry udon,1,"¥1,381",PayPay,delivered,4
10260,2026-06-30 21:02,Kochiyo Halal Multi Cuisine - Edogawa,green tea,2,224,paypay,Delivered,
10018,06/02/2026 09:12 PM,Kochiyo Central Kitchen,Katsu  Curry  Rice,3,¥1257,,delivered,
10018,2026-06-02 21:12,Kochiyo Halal - Edogawa ,Chicken  Karaage,1,"¥1,232",cash ,Refunded,4
10509,"Jul 28, 2026 17:42",Kochiyo Halal Multi Cuisine - Edogawa,CHICKEN KARAAGE BOX,2,¥851,paypay,Refunded,5.0
10237,2026/06/26,Kochiyo Halal Multi Cuisine - Edogawa,Salmon Sushi Set,1,¥1281,LINE Pay,delivered,4
10212,06/24/2026 08:49 PM,Kochiyo Central Kitchen,Katsu  Curry  Rice,2,1169.00,,Cancelled,5
10305,2026/07/05,Kochiyo Halal Multi Cuisine - Edogawa,katsu curry rice,1,1136.00,Credit Card,cancelled,
10074,2026-06-08 20:16,Kochiyo Halal - Edogawa ,falafel wrap ,1,¥878,PayPay,delivered,N/A
10352,2026/07/11,Kochiyo Central Kitchen,chicken karaage,1,"¥1,081",credit card,Delivered,3
,19/06/2026 21:08,Kochiyo Halal - Edogawa ,green tea,1,218.00,paypay,Refunded,5
10179,21/06/2026 12:47,Kochiyo Halal - Edogawa ,Tempura Set,3,"¥1,674",paypay,Delivered,3
10230,2026-06-25 19:31,Kochiyo Halal - Edogawa ,Beef Curry Udon,2,1387.00,paypay,cancelled,
10083,2026/06/08,Kochiyo Halal Multi Cuisine - Edogawa,Gyoza 6pcs,1,¥575,Credit Card,Delivered,5.0
10069,06/07/2026 07:19 PM,Kochiyo Halal - Edogawa ,Katsu  Curry  Rice,3,¥1404,Cash,Refunded,5
10227,2026-06-25 19:25,Kochiyo Halal Multi Cuisine - Edogawa,Falafel Wrap,2,861.00,LINE Pay,Refunded,5
10303,07/05/2026 11:57 AM,Kochiyo Central Kitchen,CHICKEN KARAAGE BOX,2,708.00,paypay,DELIVERED,
